filename,column,description,authoritative_definition
a55_complete_dyads_with_observation_flags.csv,openalex_snapshot_date,openalex snapshot date,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,peeringdb_rec_snapshot_date,peeringdb rec snapshot date,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,macro_reference_year,macro reference year,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,period,period,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,iso_i,iso i,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,iso_j,iso j,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,coauth_full,coauth full,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,coauth_fractional,coauth fractional,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,association_strength,association strength,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,log1p_association_strength,log1p association strength,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,knowledge_edge_present,knowledge edge present,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,network_primary_defined,network primary defined,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,network_defined_excluding_ambiguous_ixps,network defined excluding ambiguous ixps,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,shared_asn_count,shared asn count,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,inverse_ubiquity_weighted_shared_asns,inverse ubiquity weighted shared asns,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,asn_jaccard_similarity,asn jaccard similarity,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,asn_cosine_similarity,asn cosine similarity,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,inverse_ubiquity_excluding_asns_ge_25pct,inverse ubiquity excluding asns ge 25pct,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,inverse_ubiquity_excluding_asns_ge_50pct,inverse ubiquity excluding asns ge 50pct,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,inverse_ubiquity_excluding_ambiguous_ixps,inverse ubiquity excluding ambiguous ixps,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,shared_asn_count_operational_only,shared asn count operational only,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,shared_asn_count_zero_coded_55,shared asn count zero coded 55,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,inverse_ubiquity_zero_coded_55,inverse ubiquity zero coded 55,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,member_asns_i,member asns i,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,member_asns_j,member asns j,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,member_asn_geometric_mean,member asn geometric mean,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,log_member_asn_geometric_mean,log member asn geometric mean,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,log1p_member_asn_geometric_mean,log1p member asn geometric mean,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,shared_rec_any,shared rec any,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,shared_rec_count,shared rec count,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,shared_recs,shared recs,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,shared_rec_any_2021,shared rec any 2021,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,shared_rec_count_2021,shared rec count 2021,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,shared_recs_2021,shared recs 2021,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,rec_tie_changed_2021_to_2025,rec tie changed 2021 to 2025,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,distance_capital_km,distance capital km,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,log_distance_capital_km,log distance capital km,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,distance_population_weighted_km,distance population weighted km,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,contiguous_border,contiguous border,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,common_official_language,common official language,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,gdp_current_usd_i,gdp current usd i,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,gdp_current_usd_j,gdp current usd j,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,gdp_geometric_mean,gdp geometric mean,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,log_gdp_geometric_mean,log gdp geometric mean,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,population_i,population i,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,population_j,population j,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,population_geometric_mean,population geometric mean,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,log_population_geometric_mean,log population geometric mean,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,h2_control_complete,h2 control complete,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,h2_outcome_defined,h2 outcome defined,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_complete_dyads_with_observation_flags.csv,h2_model_complete,h2 model complete,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_country_three_layer_positions.csv,protocol_version,protocol version,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_country_three_layer_positions.csv,country_code,country code,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_country_three_layer_positions.csv,iso3,iso3,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_country_three_layer_positions.csv,country,country,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_country_three_layer_positions.csv,mother_sample_55,mother sample 55,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_country_three_layer_positions.csv,network_primary_covered,network primary covered,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_country_three_layer_positions.csv,time_core31_flag,time core31 flag,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_country_three_layer_positions.csv,resource_period,resource period,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_country_three_layer_positions.csv,research_activity_fractional,research activity fractional,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_country_three_layer_positions.csv,research_activity_state,research activity state,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_country_three_layer_positions.csv,research_activity_pct_layer55,research activity pct layer55,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_country_three_layer_positions.csv,research_activity_pct_common39,research activity pct common39,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_country_three_layer_positions.csv,research_activity_ai_works_sens,research activity ai works sens,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_country_three_layer_positions.csv,research_activity_ai_works_pct_layer55_sens,research activity ai works pct layer55 sens,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_country_three_layer_positions.csv,research_activity_ai_works_pct_common39_sens,research activity ai works pct common39 sens,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_country_three_layer_positions.csv,technical_snapshot_date,technical snapshot date,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_country_three_layer_positions.csv,technical_inverse_ubiquity_weighted_degree,technical inverse ubiquity weighted degree,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_country_three_layer_positions.csv,technical_state,technical state,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_country_three_layer_positions.csv,technical_pct_common39,technical pct common39,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_country_three_layer_positions.csv,technical_raw_shared_asn_degree_sens,technical raw shared asn degree sens,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_country_three_layer_positions.csv,ixp_count_aux,ixp count aux,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_country_three_layer_positions.csv,unique_member_asns_aux,unique member asns aux,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_country_three_layer_positions.csv,technical_missing_reason,technical missing reason,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_country_three_layer_positions.csv,knowledge_period,knowledge period,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_country_three_layer_positions.csv,knowledge_fractional_weighted_degree,knowledge fractional weighted degree,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_country_three_layer_positions.csv,knowledge_state,knowledge state,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_country_three_layer_positions.csv,knowledge_pct_layer55,knowledge pct layer55,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_country_three_layer_positions.csv,knowledge_pct_common39,knowledge pct common39,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_country_three_layer_positions.csv,knowledge_partner_count_aux,knowledge partner count aux,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_country_three_layer_positions.csv,tech_knowledge_signed_gap_common39,tech knowledge signed gap common39,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_country_three_layer_positions.csv,tech_knowledge_abs_gap_common39,tech knowledge abs gap common39,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_country_three_layer_positions.csv,main_figure_sort_order,main figure sort order,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_coverage_selection_diagnostics.csv,iso2,iso2,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_coverage_selection_diagnostics.csv,iso3,iso3,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_coverage_selection_diagnostics.csv,country,country,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_coverage_selection_diagnostics.csv,network_primary_covered,network primary covered,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_coverage_selection_diagnostics.csv,ixp_count,ixp count,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_coverage_selection_diagnostics.csv,unique_member_asns,unique member asns,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_coverage_selection_diagnostics.csv,ai_works_current_2021_2025,ai works current 2021 2025,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_coverage_selection_diagnostics.csv,fractional_ai_output_current_2021_2025,fractional ai output current 2021 2025,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_coverage_selection_diagnostics.csv,gdp_current_usd_reference_year,gdp current usd reference year,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_coverage_selection_diagnostics.csv,population_reference_year,population reference year,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_observability_status.csv,iso2,iso2,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_observability_status.csv,iso3,iso3,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_observability_status.csv,country,country,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_observability_status.csv,au_region,au region,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_observability_status.csv,mother_frame_55,mother frame 55,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_observability_status.csv,network_primary_covered,network primary covered,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_observability_status.csv,technical_state,technical state,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_observability_status.csv,technical_metric_if_observed,technical metric if observed,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_observability_status.csv,ixp_count_if_observed,ixp count if observed,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_observability_status.csv,member_asns_if_observed,member asns if observed,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_observability_status.csv,fractional_ai_output_2021_2025,fractional ai output 2021 2025,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_observability_status.csv,population_reference,population reference,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_observability_status.csv,gdp_current_usd_reference,gdp current usd reference,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_observability_status.csv,coverage_note,coverage note,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_openalex_country_period_summary.csv,period,period,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_openalex_country_period_summary.csv,country_code,country code,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_openalex_country_period_summary.csv,iso3,iso3,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_openalex_country_period_summary.csv,country,country,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_openalex_country_period_summary.csv,ai_works_raw,ai works raw,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_openalex_country_period_summary.csv,fractional_ai_output,fractional ai output,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_openalex_country_period_summary.csv,domestic_only_ai_works,domestic only ai works,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_openalex_country_period_summary.csv,international_ai_works,international ai works,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_openalex_country_period_summary.csv,africa_involving_ai_works,africa involving ai works,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_openalex_country_period_summary.csv,resolution_uncertain_works,resolution uncertain works,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_openalex_country_period_summary.csv,global_hhi_eligible,global hhi eligible,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_openalex_country_period_summary.csv,africa_hhi_eligible,africa hhi eligible,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_openalex_country_period_summary.csv,global_partner_hhi,global partner hhi,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_openalex_country_period_summary.csv,africa_partner_hhi,africa partner hhi,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_openalex_country_period_summary.csv,max_global_partner_share,max global partner share,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_openalex_country_period_summary.csv,max_africa_partner_share,max africa partner share,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_openalex_country_period_summary.csv,max_nonafrica_partner_share,max nonafrica partner share,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_openalex_country_period_summary.csv,global_effective_partners,global effective partners,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_openalex_country_period_summary.csv,africa_effective_partners,africa effective partners,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_openalex_country_period_summary.csv,global_partner_degree,global partner degree,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_openalex_country_period_summary.csv,africa_partner_degree,africa partner degree,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_openalex_country_period_summary.csv,knowledge_degree,knowledge degree,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_openalex_country_period_summary.csv,knowledge_strength_raw,knowledge strength raw,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_openalex_country_period_summary.csv,knowledge_strength_norm,knowledge strength norm,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_openalex_country_period_summary.csv,domestic_only_output_percentile,domestic only output percentile,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_openalex_country_period_summary.csv,fractional_ai_output_percentile,fractional ai output percentile,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_openalex_country_period_summary.csv,knowledge_strength_norm_percentile,knowledge strength norm percentile,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_openalex_country_period_summary.csv,domestic_production_position_gap,domestic production position gap,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_openalex_country_period_summary.csv,fractional_production_position_gap,fractional production position gap,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_rec_membership_snapshot.csv,source_retrieval_date,source retrieval date,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_rec_membership_snapshot.csv,membership_reference_date,membership reference date,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_rec_membership_snapshot.csv,rec,rec,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_rec_membership_snapshot.csv,iso2,iso2,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_rec_membership_snapshot.csv,iso3,iso3,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_rec_membership_snapshot.csv,country,country,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
a55_rec_membership_snapshot.csv,source_url,source url,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
c38_continuous_estimation_dyads.csv,openalex_snapshot_date,openalex snapshot date,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
c38_continuous_estimation_dyads.csv,peeringdb_rec_snapshot_date,peeringdb rec snapshot date,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
c38_continuous_estimation_dyads.csv,macro_reference_year,macro reference year,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
c38_continuous_estimation_dyads.csv,period,period,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
c38_continuous_estimation_dyads.csv,iso_i,iso i,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
c38_continuous_estimation_dyads.csv,iso_j,iso j,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
c38_continuous_estimation_dyads.csv,coauth_full,coauth full,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
c38_continuous_estimation_dyads.csv,coauth_fractional,coauth fractional,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
c38_continuous_estimation_dyads.csv,association_strength,association strength,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
c38_continuous_estimation_dyads.csv,log1p_association_strength,log1p association strength,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
c38_continuous_estimation_dyads.csv,knowledge_edge_present,knowledge edge present,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
c38_continuous_estimation_dyads.csv,network_primary_defined,network primary defined,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
c38_continuous_estimation_dyads.csv,network_defined_excluding_ambiguous_ixps,network defined excluding ambiguous ixps,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
c38_continuous_estimation_dyads.csv,shared_asn_count,shared asn count,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
c38_continuous_estimation_dyads.csv,inverse_ubiquity_weighted_shared_asns,inverse ubiquity weighted shared asns,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
c38_continuous_estimation_dyads.csv,asn_jaccard_similarity,asn jaccard similarity,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
c38_continuous_estimation_dyads.csv,asn_cosine_similarity,asn cosine similarity,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
c38_continuous_estimation_dyads.csv,inverse_ubiquity_excluding_asns_ge_25pct,inverse ubiquity excluding asns ge 25pct,"See manuscript Methods, claim-measure alignment, source construction script, and any file-specific dictionary."
